Photo,Picture Count,MLS #,Class,Type,Area/Tract,,Status,List Date,Listing Price,,,,,Address,City,State,Zip,,Price,Price Per SQFT,,Closing Date,Total SQFT,# Bedrooms,Total Baths,Year Built,,Total Fin SQFT,Total Full Baths
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1234983/0/120/90/197c18d08a1ebee9caa1932d939a3e6f/4/b1d37467d50e5bf390ce147417bba84f/1234983.JPG,36,QC4211978,Residential,Single Family,QCARA Area,,Sold,6/1/2020,"$265,000 ",,,,,17612 RIVER Road North,Cordova,IL,61242,,"$252,000 ",$127.66 ,,9/3/2020,1974,2,2,1986,,"1,974",2
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1321932/0/120/90/8e1adadf249c809ab453c941c9217622/4/ba45e2913699200cb8ec1bbf3e366b71/1321932.JPG,34,QC4240421,Residential,Single Family,QCARA Area,,Sold,2/11/2023,"$265,000 ",,,,,402 S 2ND Avenue,Cordova,IL,61242,,"$258,000 ",$95.06 ,,9/22/2023,2714,4,2,1856,,"2,714",1
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1261602/0/120/90/0527ea2fe0ef90ea5353217de86b4d3d/4/d6bdb8411d8cda3e6fa9fd7c4d2b9b7b/1261602.JPG,21,QC4220216,Residential,Single Family,QCARA Area,,Sold,4/3/2021,"$245,000 ",,,,,102 2ND Street South,Cordova,IL,61242,,"$260,000 ",$187.59 ,,8/17/2021,1386,2,2,1965,,"1,386",2
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1249853/0/120/90/a6ae56d02137f6104de7c14f04505df2/4/11dc99c8595266ed7469b0f4c440c07c/1249853.JPG,44,QC4216575,Residential,Single Family,QCARA Area,,Sold,10/29/2020,"$269,900 ",,,,,18628 RIVER Road North,Cordova,IL,61242,,"$260,000 ",$133.74 ,,2/18/2021,1944,3,3,1976,,"1,944",3
//cdnparap110.paragonrels.com/ParagonImages/Static/120/90/9220592fad0f7f0dd4261a28ea0e68f4/NoPhotoAvailable.jpg,21,QC4170229,Residential,Single Family,QCARA Area,,Sold,3/18/2016,"$275,000 ",,,,,18408 RIVER Road,Cordova,IL,61242,,"$260,000 ",$175.32 ,,5/20/2016,1483,3,1,1973,,"1,785",1
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/146444/0/120/90/59e45dd07efce16a5ae29b33dccbdca1/4/d3590e5ea4dbf2f1d1fd80519f18d1cb/146444.JPG,9,QC4123893,Residential,Single Family,QCARA Area,,Sold,3/10/2011,"$299,900 ",,,,,26612 171ST Avenue North,Cordova,IL,61242,,"$263,000 ",$160.37 ,,4/19/2012,1640,3,4,2000,,"2,944",3
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/168387/0/120/90/058803b1b97fecb30a80a62c1ca51c68/4/dfd30aa5dd1e8f36ce0ec2b085659246/168387.JPG,24,QC4153564,Residential,Single Family,QCARA Area,,Sold,7/22/2014,"$300,000 ",,,,,1310 2ND Street South,Cordova,IL,61242,,"$265,000 ",$133.77 ,,1/30/2015,1981,3,4,1969,,"2,681",2
//cdnparap110.paragonrels.com/ParagonImages/Static/120/90/9220592fad0f7f0dd4261a28ea0e68f4/NoPhotoAvailable.jpg,24,QC4170681,Residential,Single Family,QCARA Area,,Sold,4/4/2016,"$299,000 ",,,,,21208 RIVER Road,Cordova,IL,61242,,"$270,000 ",$102.12 ,,9/8/2017,2644,4,4,1940,,"2,644",2
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1213872/0/120/90/8a46adcce7fdcce793f68d058c23ce4b/4/a20057836a8b8f185e3e9d1ccb5fbb5c/1213872.JPG,27,QC4205806,Residential,Single Family,QCARA Area,,Sold,9/10/2019,"$272,000 ",,,,,910 3RD Street South,Cordova,IL,61242,,"$272,100 ",$141.35 ,,10/11/2019,1925,3,3,2010,,"1,925",3
//cdnparap110.paragonrels.com/ParagonImages/Static/120/90/9220592fad0f7f0dd4261a28ea0e68f4/NoPhotoAvailable.jpg,31,QC4242926,Residential,Single Family,QCARA Area,,Sold,5/19/2023,"$275,000 ",,,,,405 MAIN Avenue,Cordova,IL,61242,,"$275,500 ",$186.15 ,,6/16/2023,1480,3,2,1969,,"1,480",2
