Photo,Picture Count,MLS #,Class,Type,Area/Tract,Status,List Date,Listing Price,,Address,City,State,Zip,,Price,Price Per SQFT,,Closing Date,Cordova,Port Byron,Total SQFT,# Bedrooms,Total Baths,Year Built,,Total Fin SQFT,Total Full Baths
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/152198/0/120/90/1e0dc27ca2085bb9afc149dea58392fb/4/40aa7d55f0895739132f91b08c971337/152198.JPG,5,QC4131954,Residential,Single Family,QCARA Area,Sold,2/1/2012,"$579,900 ",,16424 RIVER Road North,Cordova,IL,61242,,"$520,000 ",$235.08 ,,5/16/2012,1,0,2212,3,4,1992,,"2,212",3
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1340718/0/120/90/c10ec8144d39827435e696cfdbceb47e/4/bebd61acfc84a46726f515729cc3d153/1340718.JPG,21,QC4136864,Residential,Single Family,QCARA Area,Sold,8/17/2012,"$435,000 ",,3701 214TH Street North,Port Byron,IL,61275,,"$420,000 ",$108.19 ,,11/15/2012,0,1,3882,4,3,2008,,"3,882",2
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/200736/0/120/90/99b439dddd7ab712f0ae40ef31f46bd3/4/75d227701f60d64710fcff85981257cf/200736.JPG,24,QC4135697,Residential,Single Family,QCARA Area,Sold,6/30/2012,"$399,900 ",,1623 ELM SHORE Drive,Port Byron,IL,61275,,"$374,000 ",$174.77 ,,12/13/2012,0,1,2140,3,3,1955,,"2,140",2
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/175405/0/120/90/bc1ad61b790eb69bcfcfcbcfc913f6c7/4/383782c72404cb66eba128820f5a2874/175405.JPG,24,QC4140670,Residential,Single Family,QCARA Area,Sold,2/10/2013,"$380,000 ",,13919 228TH Street,Cordova,IL,61242,,"$380,000 ",$149.90 ,,5/6/2013,1,,2535,4,3,2003,,"3,564",3
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/195119/0/120/90/60deedcef06fa7e3a7e7faf800548e01/4/8501cf8245378d4d57a95a16c16aa0c7/195119.JPG,24,QC4141981,Residential,Single Family,QCARA Area,Sold,4/12/2013,"$379,000 ",,2012 RIDGEFIELD Drive,Port Byron,IL,61275,,"$362,000 ",$159.82 ,,6/7/2013,0,1,2265,4,3,2008,,"4,065",3
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/178272/0/120/90/81f14fa9c55036cb2a4d4fb21c3281b6/4/ef9ad55694c609c8d4c31267093d0695/178272.JPG,1,QC4144351,Residential,Single Family,QCARA Area,Sold,7/8/2013,"$412,500 ",,1914 RIDGEFIELD Drive,Port Byron,IL,61275,,"$412,500 ",$110.71 ,,7/8/2013,0,1,3726,5,4,2008,,"3,726",3
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1218967/0/120/90/eb8d5060e16bd9c89b1165f3a7d1fa7f/4/edb4158f9f1b5b38c01612d108385a75/1218967.JPG,24,QC4148964,Residential,Single Family,QCARA Area,Sold,1/24/2014,"$399,900 ",,1704 Turkey Ridge Court,Port Byron,IL,61275,,"$397,900 ",$159.10 ,,5/22/2014,0,1,2501,4,4,2004,,"4,086",3
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1264370/0/120/90/631c8a5c529e699cc4fc35963441c0c3/4/abbb9df2f9ef56bdd786076f45c61b4f/1264370.JPG,24,QC4152896,Residential,Single Family,QCARA Area,Sold,6/27/2014,"$435,000 ",,3701 214TH Street North,Port Byron,IL,61275,,"$410,000 ",$105.62 ,,9/29/2014,0,1,3882,4,3,2008,,"3,882",2
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/202658/0/120/90/13fd17accf2e36f58a1fa420a49ec3ad/4/1d31003f2fa4418026fe38291a43f9c9/202658.JPG,24,QC4157192,Residential,Single Family,QCARA Area,Sold,12/10/2014,"$590,000 ",,23414 N 80TH Avenue,Port Byron,IL,61275,,"$565,000 ",$171.21 ,,12/30/2014,0,1,3300,4,5,2009,,"5,500",3
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1337133/0/120/90/8fef0c8e643ab85d9e3ad8dbd1073816/4/d7e62562207f22226bd43f87448183cc/1337133.JPG,17,QC4160608,Residential,Single Family,QCARA Area,Sold,4/27/2015,"$409,000 ",,23638 77TH Avenue Court North,Port Byron,IL,61275,,"$395,000 ",$195.74 ,,6/15/2015,0,1,2018,4,3,2007,,"3,153",2
