Picture Count,Address,City,Zip,Listing Price,Price,Price drop $,Price drop %,Price Per SQFT,Total SQFT,# Bedrooms,Total Baths,Year Built,Total Fin SQFT,Total Full Baths,Total Half Baths,List Date,Closing Date,Days on Market,Cordova,Port Byron,Rapids City
24,21001 N 52ND Avenue,Rapids City,61278,329900,300000,29900,0.09063,115,2609,4,5,1995,4080,4,1,43616,43658,42,0,0,1
24,902 S HIGH Street,Port Byron,61275,325000,300000,25000,0.07692,69,4346,4,4,1920,4346,2,2,42591,43033,442,0,1,0
38,8205 239TH Street North,Port Byron,61275,339900,300000,39900,0.11739,191,1568,4,2,1913,1568,2,0,44799,44860,61,0,1,0
31,1003 14TH Street,Rapids City,61278,304900,304900,0,0.00000,177,1724,3,3,2006,2692,3,0,44292,44349,57,0,0,1
24,1601 TIMBER RIDGE Drive,Port Byron,61275,304900,304900,0,0.00000,151,2017,4,3,2003,3533,3,0,42926,43084,158,0,1,0
24,1204 LAKEVIEW Drive,Port Byron,61275,329900,305000,24900,0.07548,131,2325,4,3,1997,2325,2,1,42530,42769,239,0,1,0
24,2 EAGLE POINTE Circle,Rapids City,61278,309900,305000,4900,0.01581,99,3091,4,4,1996,4960,3,1,43160,43364,204,0,0,1
33,22520 66TH Avenue North,Port Byron,61275,299900,305000,-5100,-0.01701,155,1968,3,3,1979,3936,2,1,43936,43973,37,0,1,0
36,22102 66TH Avenue,Port Byron,61275,300000,305000,-5000,-0.01667,143,2136,4,3,1994,2582,3,0,44757,44792,35,0,1,0
1,9114 217TH Street North,Port Byron,61275,305000,305000,0,0.00000,142,2150,3,2,1963,2150,2,0,43965,44008,43,0,1,0
38,1711 PARKWAY Drive,Port Byron,61275,309000,306000,3000,0.00971,144,2121,4,4,2007,3321,3,1,43994,44085,91,0,1,0
48,19404 52ND Avenue North,Port Byron,61275,309900,306000,3900,0.01258,130,2355,4,3,1978,3260,3,0,44419,44565,146,0,1,0
24,1700 Turkey Ridge Court,Port Byron,61275,325000,309400,15600,0.04800,130,2375,3,3,2005,2375,3,0,41388,41453,65,0,1,0
29,2301 PARKWAY Drive,Port Byron,61275,315000,309900,5100,0.01619,154,2009,5,4,2000,3061,3,1,43781,43936,155,0,1,0
24,1105 DEER TRAIL Court,Port Byron,61275,325000,310000,15000,0.04615,155,1997,4,3,2006,1997,2,1,41585,41691,106,0,1,0
35,1810 Turkey Ridge Court,Port Byron,61275,313110,310000,3110,0.00993,136,2275,5,4,2006,2843,3,1,43683,43829,146,0,1,0
31,1611 ELM SHORE Drive,Port Byron,61275,329900,310000,19900,0.06032,124,2493,4,4,1987,2493,4,0,44273,44316,43,0,1,0
24,1623 WHITE TAIL Drive,Port Byron,61275,321000,310000,11000,0.03427,143,2164,3,4,1996,3054,3,1,41987,42200,213,0,1,0
24,3530 214TH Street North,Port Byron,61275,319900,310000,9900,0.03095,168,1841,3,3,2003,1841,2,1,43619,43677,58,0,1,0
24,1413 LAKESIDE Drive,Port Byron,61275,375000,310000,65000,0.17333,101,3084,4,4,1997,4984,3,1,43507,43546,39,0,1,0
24,21001 N 52ND Avenue,Port Byron,61275,319900,310000,9900,0.03095,119,2609,4,5,1995,4080,4,1,43309,43343,34,0,1,0
99,23109 39TH Avenue Court North,Port Byron,61275,279900,311000,-31100,-0.11111,224,1388,4,2,1977,2588,2,0,45064,45117,53,0,1,0
1,1001 14TH Street,Rapids City,61278,279900,311900,-32000,-0.11433,208,1500,3,2,2018,1500,2,0,43734,43930,196,0,0,1
20,1321 HUNTER Drive,Port Byron,61275,317900,312000,5900,0.01856,145,2146,5,4,2007,3146,3,1,40968,41023,55,0,1,0
24,1321 HUNTER Drive,Port Byron,61275,309900,314900,-5000,-0.01613,140,2245,5,4,2007,3245,3,1,42117,42160,43,0,1,0
30,1303 N HIGH Street,Port Byron,61275,335000,315000,20000,0.05970,168,1872,3,3,1993,1872,2,1,44957,45058,101,0,1,0
35,19119 37TH Avenue North,Port Byron,61275,349900,315000,34900,0.09974,145,2176,3,3,2006,2176,1,2,44071,44225,154,0,1,0
24,1204 LAKEVIEW Drive,Port Byron,61275,324900,315000,9900,0.03047,138,2285,4,3,1997,2511,2,1,43423,43595,172,0,1,0
12,1315 1ST Street,Rapids City,61278,355000,317500,37500,0.10563,171,1858,3,3,1989,1858,2,1,41037,41201,164,0,0,1
24,5429 227TH Street Court North,Port Byron,61275,346500,317500,29000,0.08369,139,2286,4,4,2007,3968,3,1,41095,41232,137,0,1,0
24,22802 57TH Avenue North,Port Byron,61275,329900,318000,11900,0.03607,154,2062,3,4,2003,3511,2,2,41794,41835,41,0,1,0
30,4418 N 221ST Street,Port Byron,61275,314500,318500,-4000,-0.01272,168,1900,3,2,1952,2350,2,0,44848,44944,96,0,1,0
25,1912 1ST Avenue,Rapids City,61278,349900,320000,29900,0.08545,93,3458,3,2,1973,3458,2,0,44300,44466,166,0,0,1
34,20712 43RD Avenue Court North,Port Byron,61275,349900,320000,29900,0.08545,202,1583,5,3,1996,3063,3,0,44504,44624,120,0,1,0
