Picture Count,City,Zip,Listing Price,Price,Price drop $,Price drop %,Price Per SQFT,Total SQFT,# Bedrooms,Total Baths,Year Built,Total Fin SQFT,Total Full Baths,Total Half Baths,List Date,Closing Date,Days on Market,Cordova,Port Byron,Rapids City,List Month,List Year,Closing Month,Closing Year
24,Rapids City,61278,329900,300000,29900,0.09063,115,2609,4,5,1995,4080,4,1,5/31/19,7/12/19,42,0,0,1,5,2019,7,2019
24,Port Byron,61275,325000,300000,25000,0.07692,69,4346,4,4,1920,4346,2,2,8/9/16,10/25/17,442,0,1,0,8,2016,10,2017
38,Port Byron,61275,339900,300000,39900,0.11739,191,1568,4,2,1913,1568,2,0,8/26/22,10/26/22,61,0,1,0,8,2022,10,2022
31,Rapids City,61278,304900,304900,0,0.00000,177,1724,3,3,2006,2692,3,0,4/6/21,6/2/21,57,0,0,1,4,2021,6,2021
24,Port Byron,61275,304900,304900,0,0.00000,151,2017,4,3,2003,3533,3,0,7/10/17,12/15/17,158,0,1,0,7,2017,12,2017
24,Port Byron,61275,329900,305000,24900,0.07548,131,2325,4,3,1997,2325,2,1,6/9/16,2/3/17,239,0,1,0,6,2016,2,2017
24,Rapids City,61278,309900,305000,4900,0.01581,99,3091,4,4,1996,4960,3,1,3/1/18,9/21/18,204,0,0,1,3,2018,9,2018
33,Port Byron,61275,299900,305000,-5100,-0.01701,155,1968,3,3,1979,3936,2,1,4/15/20,5/22/20,37,0,1,0,4,2020,5,2020
36,Port Byron,61275,300000,305000,-5000,-0.01667,143,2136,4,3,1994,2582,3,0,7/15/22,8/19/22,35,0,1,0,7,2022,8,2022
1,Port Byron,61275,305000,305000,0,0.00000,142,2150,3,2,1963,2150,2,0,5/14/20,6/26/20,43,0,1,0,5,2020,6,2020
38,Port Byron,61275,309000,306000,3000,0.00971,144,2121,4,4,2007,3321,3,1,6/12/20,9/11/20,91,0,1,0,6,2020,9,2020
48,Port Byron,61275,309900,306000,3900,0.01258,130,2355,4,3,1978,3260,3,0,8/11/21,1/4/22,146,0,1,0,8,2021,1,2022
24,Port Byron,61275,325000,309400,15600,0.04800,130,2375,3,3,2005,2375,3,0,4/24/13,6/28/13,65,0,1,0,4,2013,6,2013
29,Port Byron,61275,315000,309900,5100,0.01619,154,2009,5,4,2000,3061,3,1,11/12/19,4/15/20,155,0,1,0,11,2019,4,2020
24,Port Byron,61275,325000,310000,15000,0.04615,155,1997,4,3,2006,1997,2,1,11/7/13,2/21/14,106,0,1,0,11,2013,2,2014
35,Port Byron,61275,313110,310000,3110,0.00993,136,2275,5,4,2006,2843,3,1,8/6/19,12/30/19,146,0,1,0,8,2019,12,2019
31,Port Byron,61275,329900,310000,19900,0.06032,124,2493,4,4,1987,2493,4,0,3/18/21,4/30/21,43,0,1,0,3,2021,4,2021
24,Port Byron,61275,321000,310000,11000,0.03427,143,2164,3,4,1996,3054,3,1,12/14/14,7/15/15,213,0,1,0,12,2014,7,2015
24,Port Byron,61275,319900,310000,9900,0.03095,168,1841,3,3,2003,1841,2,1,6/3/19,7/31/19,58,0,1,0,6,2019,7,2019
24,Port Byron,61275,375000,310000,65000,0.17333,101,3084,4,4,1997,4984,3,1,2/11/19,3/22/19,39,0,1,0,2,2019,3,2019
24,Port Byron,61275,319900,310000,9900,0.03095,119,2609,4,5,1995,4080,4,1,7/28/18,8/31/18,34,0,1,0,7,2018,8,2018
99,Port Byron,61275,279900,311000,-31100,-0.11111,224,1388,4,2,1977,2588,2,0,5/18/23,7/10/23,53,0,1,0,5,2023,7,2023
1,Rapids City,61278,279900,311900,-32000,-0.11433,208,1500,3,2,2018,1500,2,0,9/26/19,4/9/20,196,0,0,1,9,2019,4,2020
20,Port Byron,61275,317900,312000,5900,0.01856,145,2146,5,4,2007,3146,3,1,2/29/12,4/24/12,55,0,1,0,2,2012,4,2012
24,Port Byron,61275,309900,314900,-5000,-0.01613,140,2245,5,4,2007,3245,3,1,4/23/15,6/5/15,43,0,1,0,4,2015,6,2015
30,Port Byron,61275,335000,315000,20000,0.05970,168,1872,3,3,1993,1872,2,1,1/31/23,5/12/23,101,0,1,0,1,2023,5,2023
35,Port Byron,61275,349900,315000,34900,0.09974,145,2176,3,3,2006,2176,1,2,8/28/20,1/29/21,154,0,1,0,8,2020,1,2021
24,Port Byron,61275,324900,315000,9900,0.03047,138,2285,4,3,1997,2511,2,1,11/19/18,5/10/19,172,0,1,0,11,2018,5,2019
12,Rapids City,61278,355000,317500,37500,0.10563,171,1858,3,3,1989,1858,2,1,5/8/12,10/19/12,164,0,0,1,5,2012,10,2012
24,Port Byron,61275,346500,317500,29000,0.08369,139,2286,4,4,2007,3968,3,1,7/5/12,11/19/12,137,0,1,0,7,2012,11,2012
24,Port Byron,61275,329900,318000,11900,0.03607,154,2062,3,4,2003,3511,2,2,6/4/14,7/15/14,41,0,1,0,6,2014,7,2014
30,Port Byron,61275,314500,318500,-4000,-0.01272,168,1900,3,2,1952,2350,2,0,10/14/22,1/18/23,96,0,1,0,10,2022,1,2023
25,Rapids City,61278,349900,320000,29900,0.08545,93,3458,3,2,1973,3458,2,0,4/14/21,9/27/21,166,0,0,1,4,2021,9,2021
34,Port Byron,61275,349900,320000,29900,0.08545,202,1583,5,3,1996,3063,3,0,11/4/21,3/4/22,120,0,1,0,11,2021,3,2022
37,Port Byron,61275,335000,320000,15000,0.04478,141,2275,5,4,2006,3275,3,1,9/17/20,11/18/20,62,0,1,0,9,2020,11,2020
24,Port Byron,61254,319900,320000,-100,-0.00031,88,3645,4,4,1996,3645,3,1,1/10/19,2/28/19,49,0,1,0,1,2019,2,2019
18,Port Byron,61275,314900,320000,-5100,-0.01620,188,1700,3,2,2005,2210,2,0,6/23/22,7/22/22,29,0,1,0,6,2022,7,2022
